Date,Max Temperature (F),Min Temperature (F),Precipitation (mm),Avoid,Alternatives,All Weather,Good Bets
11/15/2023,67,41,0,0,0,0,0
11/14/2023,61,37,0,0,0,0,0
11/13/2023,63,39,0,0,0,0,0
11/12/2023,66,40,0,0,0,0,0
11/11/2023,59,41,0,0,0,0,0
11/10/2023,55,35,0,0,0,0,0
11/9/2023,53,31,0,0,0,0,0
11/8/2023,51,31,0,0,0,0,0
11/7/2023,55,40,0,1,0,0,0
11/6/2023,57,42,0.11,1,0,0,1
11/5/2023,65,46,0.01,1,0,0,0
11/4/2023,58,44,0.13,1,0,0,0
11/3/2023,61,43,0.06,1,0,0,0
11/2/2023,51,44,0.33,1,0,0,1
11/1/2023,57,35,0,0,0,0,0
10/31/2023,56,29,0,0,0,0,0
10/30/2023,50,26,0,0,0,0,0
10/29/2023,48,24,0,0,0,0,0
10/28/2023,46,27,0,0,0,0,0
10/27/2023,50,33,0,0,0,0,0
10/26/2023,50,35,0,1,0,0,0
10/25/2023,58,39,0.33,1,0,0,0
10/24/2023,63,38,0,0,0,0,0
10/23/2023,68,48,0.14,0,0,0,0
10/22/2023,73,50,0.06,0,0,0,0
10/21/2023,79,51,0,0,0,0,0
10/20/2023,80,52,0,0,0,0,0
10/19/2023,79,51,0,0,0,0,0
10/18/2023,75,48,0,0,0,0,0
10/17/2023,72,50,0,0,0,0,0
10/16/2023,82,54,0,0,0,0,0
10/15/2023,81,53,0,0,0,0,0
10/14/2023,73,53,0,0,0,0,0
10/13/2023,70,43,0,0,0,0,0
10/12/2023,64,40,0,0,0,0,0
10/11/2023,59,48,0.03,0,0,0,0
10/10/2023,65,50,0.09,0,0,0,0
10/9/2023,86,55,0.02,0,0,0,0
10/8/2023,87,53,0,0,0,0,0
10/7/2023,82,53,0,0,0,0,0
10/6/2023,78,51,0,0,0,0,0
10/5/2023,74,47,0,0,0,0,0
10/4/2023,70,44,0,0,0,0,0
10/3/2023,65,52,0.09,1,0,0,0
10/2/2023,64,49,0.01,1,0,0,0
10/1/2023,52,46,0.47,1,0,0,0
9/30/2023,57,48,0.23,1,0,0,0
9/29/2023,78,49,0,0,0,0,0
9/28/2023,69,42,0,0,0,0,0
9/27/2023,73,51,0,0,0,0,0
9/26/2023,80,53,0,0,0,0,0
9/25/2023,88,53,0,0,0,0,0
9/24/2023,80,55,0,0,0,0,0
9/23/2023,78,49,0,0,0,0,0
